Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Access Type,Source,EID
"Herath G., Hasanov A., Park J.","6701596092;57209702713;57209600873;","Impact of climate change on paddy production in malaysia: Empirical analysis at the national and state level experience",2020,"Advances in Intelligent Systems and Computing","1001",,,"656","664",,,"10.1007/978-3-030-21248-3_48","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068220155&doi=10.1007%2f978-3-030-21248-3_48&partnerID=40&md5=c239aac0faede6f79fc4ec3f5d0da5a5","School of Business, Monash University, Subang Jaya, Malaysia","Herath, G., School of Business, Monash University, Subang Jaya, Malaysia; Hasanov, A., School of Business, Monash University, Subang Jaya, Malaysia; Park, J., School of Business, Monash University, Subang Jaya, Malaysia",Conference Paper,"Final",,Scopus,2-s2.0-85068220155
"Mirjalili S., Song Dong J., Lewis A., Sadiq A.S.","51461922300;57205728704;35199653200;43661617100;","Particle swarm optimization: Theory, literature review, and application in airfoil design",2020,"Studies in Computational Intelligence","811",,,"167","184",,,"10.1007/978-3-030-12127-3_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061335271&doi=10.1007%2f978-3-030-12127-3_10&partnerID=40&md5=6f5e2f70f0d78e2b0cc2936033091292","Institute for Integrated and Intelligent Systems, Griffith University, Nathan, Brisbane, QLD  4111, Australia; Department of Computer Science, School of Computing, National University of Singapore, Singapore, Singapore; School of Information Technology, Monash University, Bandar Sunway, 47500, Malaysia","Mirjalili, S., Institute for Integrated and Intelligent Systems, Griffith University, Nathan, Brisbane, QLD  4111, Australia; Song Dong, J., Institute for Integrated and Intelligent Systems, Griffith University, Nathan, Brisbane, QLD  4111, Australia, Department of Computer Science, School of Computing, National University of Singapore, Singapore, Singapore; Lewis, A., Institute for Integrated and Intelligent Systems, Griffith University, Nathan, Brisbane, QLD  4111, Australia; Sadiq, A.S., School of Information Technology, Monash University, Bandar Sunway, 47500, Malaysia",Book Chapter,"Final",,Scopus,2-s2.0-85061335271
"Mirjalili S., Song Dong J., Sadiq A.S., Faris H.","51461922300;57205728704;43661617100;56962785300;","Genetic algorithm: Theory, literature review, and application in image reconstruction",2020,"Studies in Computational Intelligence","811",,,"69","85",,,"10.1007/978-3-030-12127-3_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061340811&doi=10.1007%2f978-3-030-12127-3_5&partnerID=40&md5=b39bd818320790b9146e7cd2edd87295","Institute for Integrated and Intelligent Systems, Griffith University, Nathan, Brisbane, QLD  4111, Australia; Department of Computer Science, School of Computing, National University of Singapore, Singapore, Singapore; School of Information Technology, Monash University, Bandar Sunway, 47500, Malaysia; King Abdullah II School for Information Technology, The University of Jordan, Amman, Jordan","Mirjalili, S., Institute for Integrated and Intelligent Systems, Griffith University, Nathan, Brisbane, QLD  4111, Australia; Song Dong, J., Institute for Integrated and Intelligent Systems, Griffith University, Nathan, Brisbane, QLD  4111, Australia, Department of Computer Science, School of Computing, National University of Singapore, Singapore, Singapore; Sadiq, A.S., School of Information Technology, Monash University, Bandar Sunway, 47500, Malaysia; Faris, H., King Abdullah II School for Information Technology, The University of Jordan, Amman, Jordan",Book Chapter,"Final",,Scopus,2-s2.0-85061340811
"Yap K.H., Warren N., Reidpath D.D., Allotey P.","57205268182;15133654600;36004414800;6603349204;","Interpretations of self-rated health in stroke survivors from a semi-rural community in South East Asia",2019,"International journal of qualitative studies on health and well-being","14","1",,"1613875","",,,"10.1080/17482631.2019.1613875","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066499707&doi=10.1080%2f17482631.2019.1613875&partnerID=40&md5=9721c2e74bd6a0d74acac32fcbed6f37","Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Malaysia; b School of Social Sciences, Clayton Campus , Monash University , Melbourne , Australia; Monash University, c South East Asia Community Observatory (SEACO), Segamat, Malaysia; International Institute for Global Health, United Nations University, Kuala Lumpur, Malaysia","Yap, K.H., Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Malaysia; Warren, N., b School of Social Sciences, Clayton Campus , Monash University , Melbourne , Australia; Reidpath, D.D., Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Malaysia, Monash University, c South East Asia Community Observatory (SEACO), Segamat, Malaysia; Allotey, P., Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Malaysia, International Institute for Global Health, United Nations University, Kuala Lumpur, Malaysia",Article,"Final",Open Access,Scopus,2-s2.0-85066499707
"Sirica R., Buonaiuto M., Petrella V., Sticco L., Tramontano D., Antonini D., Missero C., Guardiola O., Andolfi G., Kumar H., Ayub Q., Xue Y., Tyler-Smith C., Salvemini M., D’Angelo G., Colonna V.","57207933804;57207933708;55597432300;57194219044;7003839205;8162574500;6701449916;21833565300;57191077828;57207937543;6602356251;7402270896;57204334101;6602325229;57195396291;12778987500;","Positive selection in Europeans and East-Asians at the ABCA12 gene",2019,"Scientific Reports","9","1", 4843,"","",,,"10.1038/s41598-019-40360-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063271826&doi=10.1038%2fs41598-019-40360-9&partnerID=40&md5=9d2b64404df85086f66201b8c013e7b6","Institute of Genetics and Biophysics, National Research Council, Naples, Italy; Department of Biology, University of Naples Federico II, Napoli, Italy; Institute of Protein Biochemistry, National Research Council, Naples, Italy; Monash University Malaysia Genomics Facility, Tropical Medicine and Biology Multidisciplinary Platform, Bandar Sunway, Selangor Darul Ehsan, Malaysia; School of Science, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan, Malaysia; Wellcome Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridge, CB10 1SA, United Kingdom; Department of Molecular Medicine and Medical Biotechnology, University of Naples Federico II, Napoli, Italy; CEINGE Biotecnologie Avanzate, Napoli, 80145, Italy","Sirica, R., Institute of Genetics and Biophysics, National Research Council, Naples, Italy; Buonaiuto, M., Institute of Genetics and Biophysics, National Research Council, Naples, Italy; Petrella, V., Department of Biology, University of Naples Federico II, Napoli, Italy; Sticco, L., Institute of Protein Biochemistry, National Research Council, Naples, Italy; Tramontano, D., Department of Molecular Medicine and Medical Biotechnology, University of Naples Federico II, Napoli, Italy; Antonini, D., Department of Biology, University of Naples Federico II, Napoli, Italy, CEINGE Biotecnologie Avanzate, Napoli, 80145, Italy; Missero, C., Department of Biology, University of Naples Federico II, Napoli, Italy, CEINGE Biotecnologie Avanzate, Napoli, 80145, Italy; Guardiola, O., Institute of Genetics and Biophysics, National Research Council, Naples, Italy; Andolfi, G., Institute of Genetics and Biophysics, National Research Council, Naples, Italy; Kumar, H., Monash University Malaysia Genomics Facility, Tropical Medicine and Biology Multidisciplinary Platform, Bandar Sunway, Selangor Darul Ehsan, Malaysia, School of Science, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan, Malaysia; Ayub, Q., Monash University Malaysia Genomics Facility, Tropical Medicine and Biology Multidisciplinary Platform, Bandar Sunway, Selangor Darul Ehsan, Malaysia, School of Science, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan, Malaysia, Wellcome Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridge, CB10 1SA, United Kingdom; Xue, Y., Wellcome Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridge, CB10 1SA, United Kingdom; Tyler-Smith, C., Wellcome Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridge, CB10 1SA, United Kingdom; Salvemini, M., Department of Biology, University of Naples Federico II, Napoli, Italy; D’Angelo, G., Institute of Protein Biochemistry, National Research Council, Naples, Italy; Colonna, V., Institute of Genetics and Biophysics, National Research Council, Naples, Italy",Article,"Final",Open Access,Scopus,2-s2.0-85063271826
"Drewes J.L., White J.R., Dejea C.M., Fathi P., Iyadorai T., Vadivelu J., Roslani A.C., Wick E.C., Mongodin E.F., Loke M.F., Thulasi K., Gan H.M., Goh K.L., Chong H.Y., Kumar S., Wanyiri J.W., Sears C.L.","55698482600;55734263600;24066514600;57193526369;57189097308;6701726441;57191030888;8274627700;6507813767;16507483400;57200689580;57194437456;7201860992;37094629100;57208487307;14042787800;7005428505;","Erratum to: High-resolution bacterial 16S rRNA gene profile meta-analysis and biofilm status reveal common colorectal cancer consortia (npj Biofilms and Microbiomes, (2017), 3, 1, (34), 10.1038/s41522-017-0040-3)",2019,"npj Biofilms and Microbiomes","5","1", 2,"","",,,"10.1038/s41522-018-0078-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059738875&doi=10.1038%2fs41522-018-0078-x&partnerID=40&md5=16937d808356effacc5889cd26ddaae2","Johns Hopkins University School of Medicine, 1550 Orleans St, Baltimore, MD  21231, United States; Resphera Biosciences, 1529 Lancaster St, Baltimore, MD  21231, United States; University of Malaya Faculty of Medicine, Kuala Lumpur, 50603, Malaysia; University of Maryland School of Medicine, Institute for Genome Sciences, 801 W. Baltimore St, Baltimore, MD  21201, United States; Monash University Malaysia, School of Science, 47500 Bandar Sunway, Selangor, Darul Ehsan, Malaysia","Drewes, J.L., Johns Hopkins University School of Medicine, 1550 Orleans St, Baltimore, MD  21231, United States; White, J.R., Resphera Biosciences, 1529 Lancaster St, Baltimore, MD  21231, United States; Dejea, C.M., Johns Hopkins University School of Medicine, 1550 Orleans St, Baltimore, MD  21231, United States; Fathi, P., Johns Hopkins University School of Medicine, 1550 Orleans St, Baltimore, MD  21231, United States; Iyadorai, T., University of Malaya Faculty of Medicine, Kuala Lumpur, 50603, Malaysia; Vadivelu, J., University of Malaya Faculty of Medicine, Kuala Lumpur, 50603, Malaysia; Roslani, A.C., University of Malaya Faculty of Medicine, Kuala Lumpur, 50603, Malaysia; Wick, E.C., Johns Hopkins University School of Medicine, 1550 Orleans St, Baltimore, MD  21231, United States; Mongodin, E.F., University of Maryland School of Medicine, Institute for Genome Sciences, 801 W. Baltimore St, Baltimore, MD  21201, United States; Loke, M.F., University of Malaya Faculty of Medicine, Kuala Lumpur, 50603, Malaysia; Thulasi, K., University of Malaya Faculty of Medicine, Kuala Lumpur, 50603, Malaysia; Gan, H.M., Monash University Malaysia, School of Science, 47500 Bandar Sunway, Selangor, Darul Ehsan, Malaysia; Goh, K.L., University of Malaya Faculty of Medicine, Kuala Lumpur, 50603, Malaysia; Chong, H.Y., University of Malaya Faculty of Medicine, Kuala Lumpur, 50603, Malaysia; Kumar, S., University of Malaya Faculty of Medicine, Kuala Lumpur, 50603, Malaysia; Wanyiri, J.W., Johns Hopkins University School of Medicine, 1550 Orleans St, Baltimore, MD  21231, United States; Sears, C.L., Johns Hopkins University School of Medicine, 1550 Orleans St, Baltimore, MD  21231, United States",Erratum,"Final",Open Access,Scopus,2-s2.0-85059738875
"Law J.W.-F., Ser H.-L., Ab Mutalib N.-S., Saokaew S., Duangjai A., Khan T.M., Chan K.-G., Goh B.-H., Lee L.-H.","56472355300;56589981600;54389834000;34969613100;36655604900;57201427853;55484790300;36441148500;23570787300;","Streptomyces monashensis sp. nov., a novel mangrove soil actinobacterium from East Malaysia with antioxidative potential",2019,"Scientific Reports","9","1", 3056,"","",,1,"10.1038/s41598-019-39592-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062274979&doi=10.1038%2fs41598-019-39592-6&partnerID=40&md5=a8cdbe8ca94db7c55e60d0bfc345b1d8","Novel Bacteria and Drug Discovery Research Group, Microbiome and Bioresource Research Strength, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Biofunctional Molecule Exploratory Research Group, Biomedicine Research Advancement Centre, School of Pharmacy, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Institute of Biomedical and Pharmaceutical Sciences, Guangdong University of Technology, Guangzhou, 510006, China; UKM Medical Molecular Biology Institute (UMBI), UKM Medical Centre, University Kebangsaan Malaysia, Kuala Lumpur, Malaysia; Center of Health Outcomes Research and Therapeutic Safety (Cohorts), School of Pharmaceutical Sciences, University of Phayao, Phayao, Thailand; Pharmaceutical Outcomes Research Center (CPOR), Faculty of Pharmaceutical Sciences, Naresuan University, Phitsanulok, Thailand; Division of Physiology, School of Medical Sciences, University of Phayao, Phayao, Thailand; The Institute of Pharmaceutical Sciences, University of Veterinary and Animal Sciences, Lahore, Pakistan; Division of Genetics and Molecular Biology, Institute of Biological Sciences, Faculty of Science, University of Malaya, Kuala Lumpur, 50603, Malaysia; International Genome Centre, Jiangsu University, Zhenjiang, China","Law, J.W.-F., Novel Bacteria and Drug Discovery Research Group, Microbiome and Bioresource Research Strength, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Ser, H.-L., Novel Bacteria and Drug Discovery Research Group, Microbiome and Bioresource Research Strength, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia, Biofunctional Molecule Exploratory Research Group, Biomedicine Research Advancement Centre, School of Pharmacy, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia, Institute of Biomedical and Pharmaceutical Sciences, Guangdong University of Technology, Guangzhou, 510006, China; Ab Mutalib, N.-S., UKM Medical Molecular Biology Institute (UMBI), UKM Medical Centre, University Kebangsaan Malaysia, Kuala Lumpur, Malaysia; Saokaew, S., Novel Bacteria and Drug Discovery Research Group, Microbiome and Bioresource Research Strength, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia, Center of Health Outcomes Research and Therapeutic Safety (Cohorts), School of Pharmaceutical Sciences, University of Phayao, Phayao, Thailand, Pharmaceutical Outcomes Research Center (CPOR), Faculty of Pharmaceutical Sciences, Naresuan University, Phitsanulok, Thailand; Duangjai, A., Novel Bacteria and Drug Discovery Research Group, Microbiome and Bioresource Research Strength, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia, Center of Health Outcomes Research and Therapeutic Safety (Cohorts), School of Pharmaceutical Sciences, University of Phayao, Phayao, Thailand, Division of Physiology, School of Medical Sciences, University of Phayao, Phayao, Thailand; Khan, T.M., Biofunctional Molecule Exploratory Research Group, Biomedicine Research Advancement Centre, School of Pharmacy, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia, The Institute of Pharmaceutical Sciences, University of Veterinary and Animal Sciences, Lahore, Pakistan; Chan, K.-G., Division of Genetics and Molecular Biology, Institute of Biological Sciences, Faculty of Science, University of Malaya, Kuala Lumpur, 50603, Malaysia, International Genome Centre, Jiangsu University, Zhenjiang, China; Goh, B.-H., Biofunctional Molecule Exploratory Research Group, Biomedicine Research Advancement Centre, School of Pharmacy, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia, Institute of Biomedical and Pharmaceutical Sciences, Guangdong University of Technology, Guangzhou, 510006, China, Center of Health Outcomes Research and Therapeutic Safety (Cohorts), School of Pharmaceutical Sciences, University of Phayao, Phayao, Thailand; Lee, L.-H., Novel Bacteria and Drug Discovery Research Group, Microbiome and Bioresource Research Strength, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia, Institute of Biomedical and Pharmaceutical Sciences, Guangdong University of Technology, Guangzhou, 510006, China, Center of Health Outcomes Research and Therapeutic Safety (Cohorts), School of Pharmaceutical Sciences, University of Phayao, Phayao, Thailand",Article,"Final",Open Access,Scopus,2-s2.0-85062274979
"Mutha N.V.R., Mohammed W.K., Krasnogor N., Tan G.Y.A., Wee W.Y., Li Y., Choo S.W., Jakubovics N.S.","56111854800;57195075348;8970880900;57203745034;55360822600;57208906603;56673012200;8321886300;","Transcriptional profiling of coaggregation interactions between Streptococcus gordonii and Veillonella parvula by Dual RNA-Seq",2019,"Scientific Reports","9","1", 7664,"","",,,"10.1038/s41598-019-43979-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066067583&doi=10.1038%2fs41598-019-43979-w&partnerID=40&md5=0fa0177f8f38dc2d9597663e2051a4dd","Department of Biological Sciences, Xi’an Jiaotong-Liverpool University, Suzhou, China; Institute of Biological Sciences, Faculty of Science, University of Malaya, Kuala Lumpur, Malaysia; School of Dental Sciences, Newcastle University, Newcastle upon Tyne, United Kingdom; Department of Basic Science, College of Dentistry, University of Anbar, Ramida, Anbar, Iraq; Interdisciplinary Computing and Complex Biosystems (ICOS) Research Group, School of Computing, Newcastle University, Newcastle upon Tyne, United Kingdom; School of Science, Monash University Malaysia, Bandar Sunway, Subang Jaya, Malaysia; Suzhou Genome Centre (SGC), Health Technologies University Research Centre (HT-URC), Xi’an Jiaotong-Liverpool University, Suzhou Dushu Lake Science and Education Innovation District, Suzhou, China","Mutha, N.V.R., Institute of Biological Sciences, Faculty of Science, University of Malaya, Kuala Lumpur, Malaysia; Mohammed, W.K., School of Dental Sciences, Newcastle University, Newcastle upon Tyne, United Kingdom, Department of Basic Science, College of Dentistry, University of Anbar, Ramida, Anbar, Iraq; Krasnogor, N., Interdisciplinary Computing and Complex Biosystems (ICOS) Research Group, School of Computing, Newcastle University, Newcastle upon Tyne, United Kingdom; Tan, G.Y.A., Institute of Biological Sciences, Faculty of Science, University of Malaya, Kuala Lumpur, Malaysia; Wee, W.Y., School of Science, Monash University Malaysia, Bandar Sunway, Subang Jaya, Malaysia; Li, Y., Department of Biological Sciences, Xi’an Jiaotong-Liverpool University, Suzhou, China; Choo, S.W., Department of Biological Sciences, Xi’an Jiaotong-Liverpool University, Suzhou, China, Suzhou Genome Centre (SGC), Health Technologies University Research Centre (HT-URC), Xi’an Jiaotong-Liverpool University, Suzhou Dushu Lake Science and Education Innovation District, Suzhou, China; Jakubovics, N.S., School of Dental Sciences, Newcastle University, Newcastle upon Tyne, United Kingdom",Article,"Final",Open Access,Scopus,2-s2.0-85066067583
"Alam F., Islam M.A., Mohamed M., Ahmad I., Kamal M.A., Donnelly R., Idris I., Gan S.H.","56267697400;55371447500;9251089900;56816270900;56340070000;7201543333;15070645600;57201784436;","Efficacy and Safety of Pioglitazone Monotherapy in Type 2 Diabetes Mellitus: A Systematic Review and Meta-Analysis of Randomised Controlled Trials",2019,"Scientific Reports","9","1", 5389,"","",,,"10.1038/s41598-019-41854-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063728080&doi=10.1038%2fs41598-019-41854-2&partnerID=40&md5=7f421b3340057e7060441fea65c54984","Human Genome Centre, School of Medical Sciences, Universiti Sains Malaysia, Kubang Kerian, Kelantan  16150, Malaysia; Department of Haematology, School of Medical Sciences, Universiti Sains Malaysia, Kubang Kerian, Kelantan  16150, Malaysia; Department of Medicine, School of Medical Sciences, Universiti Sains Malaysia, Kubang Kerian, Kelantan  16150, Malaysia; Department of Family Medicine, School of Medical Sciences, Universiti Sains Malaysia, Kubang Kerian, Kelantan  16150, Malaysia; King Fahd Medical Research Center, King Abdulaziz University, P. O. Box 80216, Jeddah, 21589, Saudi Arabia; Enzymoics, 7 Peterlee Place, Hebersham, NSW  2770, Australia; Novel Global Community Educational Foundation, NSW, Australia; Division of Medical Sciences & Graduate Entry Medicine, School of Medicine, University of Nottingham, Royal Derby Hospital Centre, Derby, United Kingdom; School of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor  47500, Malaysia","Alam, F., Human Genome Centre, School of Medical Sciences, Universiti Sains Malaysia, Kubang Kerian, Kelantan  16150, Malaysia; Islam, M.A., Department of Haematology, School of Medical Sciences, Universiti Sains Malaysia, Kubang Kerian, Kelantan  16150, Malaysia; Mohamed, M., Department of Medicine, School of Medical Sciences, Universiti Sains Malaysia, Kubang Kerian, Kelantan  16150, Malaysia; Ahmad, I., Department of Family Medicine, School of Medical Sciences, Universiti Sains Malaysia, Kubang Kerian, Kelantan  16150, Malaysia; Kamal, M.A., King Fahd Medical Research Center, King Abdulaziz University, P. O. Box 80216, Jeddah, 21589, Saudi Arabia, Enzymoics, 7 Peterlee Place, Hebersham, NSW  2770, Australia, Novel Global Community Educational Foundation, NSW, Australia; Donnelly, R., Division of Medical Sciences & Graduate Entry Medicine, School of Medicine, University of Nottingham, Royal Derby Hospital Centre, Derby, United Kingdom; Idris, I., Division of Medical Sciences & Graduate Entry Medicine, School of Medicine, University of Nottingham, Royal Derby Hospital Centre, Derby, United Kingdom; Gan, S.H., School of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor  47500, Malaysia",Article,"Final",Open Access,Scopus,2-s2.0-85063728080
"Yee P.T.I., Tan S.H., Ong K.C., Tan K.O., Wong K.T., Hassan S.S., Poh C.L.","57033855500;56440626700;16643484300;57037620000;7404758878;55677087758;55663283400;","Development of live attenuated Enterovirus 71 vaccine strains that confer protection against lethal challenge in mice",2019,"Scientific Reports","9","1", 4805,"","",,,"10.1038/s41598-019-41285-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063029517&doi=10.1038%2fs41598-019-41285-z&partnerID=40&md5=f8a372eee074eb28753d53fc6c95e471","Centre for Virus and Vaccine Research, School of Science and Technology, Sunway University, Bandar Sunway, Selangor  47500, Malaysia; Department of Biomedical Science, Faculty of Medicine, University of Malaya, Jalan University, Kuala Lumpur, Selangor  50603, Malaysia; Department of Biological Sciences, School of Science and Technology, Sunway University, Kuala Lumpur, Selangor  47500, Malaysia; Department of Pathology, Faculty of Medicine, University of Malaya, Jalan University, Kuala Lumpur, Selangor  50603, Malaysia; Jeffrey Cheah School of Medicine and Health Sciences, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Subang Jaya, 47500, Malaysia","Yee, P.T.I., Centre for Virus and Vaccine Research, School of Science and Technology, Sunway University, Bandar Sunway, Selangor  47500, Malaysia; Tan, S.H., Department of Biomedical Science, Faculty of Medicine, University of Malaya, Jalan University, Kuala Lumpur, Selangor  50603, Malaysia; Ong, K.C., Department of Biomedical Science, Faculty of Medicine, University of Malaya, Jalan University, Kuala Lumpur, Selangor  50603, Malaysia; Tan, K.O., Department of Biological Sciences, School of Science and Technology, Sunway University, Kuala Lumpur, Selangor  47500, Malaysia; Wong, K.T., Department of Pathology, Faculty of Medicine, University of Malaya, Jalan University, Kuala Lumpur, Selangor  50603, Malaysia; Hassan, S.S., Jeffrey Cheah School of Medicine and Health Sciences, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Subang Jaya, 47500, Malaysia; Poh, C.L., Centre for Virus and Vaccine Research, School of Science and Technology, Sunway University, Bandar Sunway, Selangor  47500, Malaysia",Article,"Final",Open Access,Scopus,2-s2.0-85063029517
